image_id,split,codec,is_lossy,quality,raw_bytes,compressed_bytes,compression_ratio,encode_time_ms,decode_time_ms,mse,psnr,ssim,dark_ssim,dark_psnr,banding_score
kodim13,train,webp_lossless,False,100.0,1179648,604418,1.9517089166768693,719.5160000119358,11.975041008554399,0.0,inf,1.0,1.0,100.0,0.07165417253320142
kodim13,train,jpeg,True,50.0,1179648,83657,14.101007686147005,2.7217919705435634,4.1404590010643005,108.59040408664279,27.77288911640396,0.8628518298528108,0.8717777638278116,29.39730302384977,0.0464688399301788
kodim13,train,jpeg,True,75.0,1179648,128204,9.201335371751272,6.08745904173702,3.045166959054768,53.951895819769966,30.810736508740256,0.9211434596595471,0.9214994835432727,32.09127795728863,0.017668479971226902
kodim13,train,jpeg,True,85.0,1179648,174570,6.7574497336312085,3.0122080352157354,3.400583053007722,27.915963066948784,33.672277457888654,0.9542860753381285,0.9513212862071316,34.53436252653511,0.009640815630065695
kodim13,train,jpeg,True,95.0,1179648,302569,3.89877350290347,3.3895830856636167,4.864207934588194,5.855029635959202,40.455512632185425,0.9888640985945445,0.9875431131450896,40.95219046111853,0.004979382245390181
kodim13,train,webp_lossy,True,50.0,1179648,82408,14.314726725560625,47.9630830232054,8.98370798677206,54.646622551812065,30.75517035431927,0.9225340366668796,0.9202344603578438,31.91478669198562,0.03891933966853696
kodim13,train,webp_lossy,True,75.0,1179648,107044,11.020215985949703,50.70466594770551,10.62674995046109,32.41907077365451,33.022797983399236,0.954250900928602,0.9521511154279171,34.00824388207057,0.03623241500586166
kodim13,train,webp_lossy,True,85.0,1179648,147352,8.0056463434497,56.646957993507385,13.36983300279826,15.375865512424046,36.26240789156054,0.9785613244845693,0.9769497958529264,37.20146411211466,0.03808400547861817
kodim13,train,webp_lossy,True,95.0,1179648,227926,5.175574528575064,67.8925421088934,19.146041944622993,5.516439649793837,40.714214895369494,0.9920747390139555,0.9917287962337261,41.939454641341186,0.013819852387407742
edge_06_mixed_hdr,train,png,False,,1179648,816473,1.444809565043792,31.311416998505592,8.570958976633847,0.0,inf,1.0,1.0,100.0,0.001762397747677847
edge_06_mixed_hdr,train,webp_lossless,False,100.0,1179648,726232,1.6243404311569856,485.6869160430506,10.92358399182558,0.0,inf,1.0,1.0,100.0,0.001762397747677847
edge_06_mixed_hdr,train,jpeg,True,50.0,1179648,24281,48.583172027511225,2.1449169144034386,1.6847079386934638,56.923539055718315,30.577884676181792,0.6324399714385368,0.7867430270839476,35.97253598851185,0.5343752719562654
edge_06_mixed_hdr,train,jpeg,True,75.0,1179648,52163,22.614650231006653,2.2677499800920486,1.9513749284669757,52.699745178222656,30.912718456166417,0.6718902010436875,0.7944153249509146,36.03380616761137,0.02691559300260702
edge_06_mixed_hdr,train,jpeg,True,85.0,1179648,103444,11.403735354394648,2.5755830574780703,2.7564590563997626,47.65472751193576,31.349743702586316,0.7365532192683809,0.8090297099825823,36.28655056011621,0.0030021587961661478
edge_06_mixed_hdr,train,jpeg,True,95.0,1179648,304031,3.880025392147511,3.6634589778259397,5.210749921388924,14.828682793511284,36.41977785761051,0.9024384889758852,0.8693261222714428,37.29776984643149,0.0017080596442441386
edge_06_mixed_hdr,train,webp_lossy,True,50.0,1179648,7020,168.04102564102564,26.773959049023688,3.5157500533387065,58.797508239746094,30.437214392247377,0.6151921846470424,0.7870919876407458,36.001458932915845,0.6933395360873972
edge_06_mixed_hdr,train,webp_lossy,True,75.0,1179648,19900,59.27879396984925,32.640457968227565,4.216250032186508,56.812760247124565,30.58634470887016,0.654280836519893,0.7879039251953112,36.00488298506854,0.6017583261800893
